传送 1/12 (24,0) frame=4556
传送 1/12 (30,0) frame=4564
传送 1/12 (0,0) frame=4571
传送 1/12 (-40,0) frame=4578
传送 1/12 (70,0) frame=4585
传送 1/12 (-90,0) frame=4590
传送 2/12 (24,0) frame=4597
传送 2/12 (30,0) frame=4606
传送 2/12 (0,0) frame=4614
传送 2/12 (-40,0) frame=4621
传送 2/12 (70,0) frame=4629
传送 2/12 (-90,0) frame=4635
传送 3/12 (24,0) frame=4644
传送 3/12 (30,0) frame=4654
传送 3/12 (0,0) frame=4662
传送 3/12 (-40,0) frame=4671
传送 3/12 (70,0) frame=4680
传送 3/12 (-90,0) frame=4686
失败：帧未前进
